pinIds,sourceState,sourceAgency,sourceSiteName,imageTitle,imagePath,reason
jr_indiana_george_rogers_clark_nhp,Indiana,National Park Service,George Rogers Clark National Historical Park,GRC cent Badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Indiana/032 - GRC cent Badge.jpeg - ab97f4a4ff.jpg,Image title did not match mapped site tokens
jr_indiana_george_rogers_clark_nhp,Indiana,National Park Service,George Rogers Clark National Historical Park,GRC Junior Ragner Series patch,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Indiana/033 - GRC Junior Ragner Series patch.jpeg - 2152ccc74d.jpg,Image title did not match mapped site tokens
jr_indiana_george_rogers_clark_nhp,Indiana,National Park Service,George Rogers Clark National Historical Park,GRC cent Badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/Centennial/_Agency Header/051 - GRC cent Badge.jpeg - ab97f4a4ff.jpg,Image title did not match mapped site tokens
jr_indiana_indiana_dunes_np,Indiana,National Park Service,"Indiana Dunes National Lakeshore, before February 15, 2019",National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/114 - National Trails - 070d401e8d.jpg,Image title did not match mapped site tokens
jr_indiana_indiana_dunes_np,Indiana,National Park Service,"Indiana Dunes National Lakeshore, before February 15, 2019",National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/117 - National Trails - 7cadd6b8a5.jpg,Image title did not match mapped site tokens
jr_pentathlon_card_mammoth_cave_np,Kentucky,National Park Service,Mammoth Cave National Historical Park,Man pat2,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Kentucky/013 - Man pat2.jpeg - c1ccd633a7.jpg,Image title did not match mapped site tokens
jr_pentathlon_card_mammoth_cave_np,Kentucky,National Park Service,Mammoth Cave National Historical Park,waco,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/168 - waco.jpeg - 24355e653e.jpg,Image title did not match mapped site tokens
jr_pentathlon_card_mill_springs_battlefield_nm,Kentucky,National Park Service,Mill Springs Battlefield National Monument,Hot Spi,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/078 - Hot Spi.jpeg - 97ffdfc3dc.jpg,Image title did not match mapped site tokens
jr_maine_acadia_np,Maine,National Park Service,Acadia National Park,Camp,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Maine/101 - Camp.jpeg - 12c94e48d2.jpg,Image title did not match mapped site tokens
jr_maine_acadia_np,Maine,National Park Service,Acadia National Park,Centennial,/Users/carterswarm/Downloads/JR_Rewards_Badges/Centennial/_Agency Header/043 - Centennial.jpeg - c5ec90d589.jpg,Image title did not match mapped site tokens
jr_maine_acadia_np,Maine,National Park Service,Acadia National Park,Centennial,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Maine/004 - Centennial.jpeg - c5ec90d589.jpg,Image title did not match mapped site tokens
jr__fort_mchenry_nm_and_historical_shrine,Maryland,National Park Service,Fort McHenry National Monument and Historic Shrine,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/041 - Generic - 686621e4ab.jpg,Image title did not match mapped site tokens
jr__fort_washington_park,Maryland,National Park Service,Fort Washington Park,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/061 - Generic - 1041053b16.jpg,Image title did not match mapped site tokens
jr__oxon_cove_park_and_oxon_hill_farm,Maryland,National Park Service,Oxon Cove Park and Oxon Hill Farm,Piscataway Badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Maryland/087 - Piscataway Badge.jpeg - 8f71e6d92f.jpg,Image title did not match mapped site tokens
jr__thomas_stone_nhs,Maryland,National Park Service,Thomas Stone National Historic Site,National Park Junior Ranger Virtual Programs,/Users/carterswarm/Downloads/JR_Rewards_Badges/Virtual/_Agency Header/053 - National Park Junior Ranger Virtual Programs - aea9bb556e.png,Image title did not match mapped site tokens
jr_massachusetts_boston_nhp,Massachusetts,National Park Service,Boston National Historical Park,Citizen Scientist,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Massachusetts/011 - Citizen Scientist.jpeg - e6255035cd.jpg,Image title did not match mapped site tokens
jr_massachusetts_cape_cod_ns,Massachusetts,National Park Service,Cape Cod National Seashore,Essex,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Massachusetts/054 - Essex.jpeg - d2fe417fa1.jpg,Image title did not match mapped site tokens
jr_massachusetts_new_bedford_whaling_nhp,Massachusetts,National Park Service,New Bedford Whaling National Historical Park,fred,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Massachusetts/076 - fred.jpeg - 6b7e2d191f.jpg,Image title did not match mapped site tokens
jr_michigan_keweenaw_nhp,Michigan,National Park Service,Keweenaw National Historical Park,Ken Stick,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Michigan/015 - Ken Stick.jpeg - 631c3b14cf.jpg,Image title did not match mapped site tokens
jr_missouri_gateway_arch_np,Missouri,National Park Service,Gateway Arch National Park,Jeff Memorial badge4,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Missouri/003 - Jeff Memorial badge4.jpeg - ca2d6fad44.jpg,Image title did not match mapped site tokens
jr_missouri_gateway_arch_np,Missouri,National Park Service,Gateway Arch National Park,Jeff Memorial courthouse,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Missouri/004 - Jeff Memorial courthouse.jpeg - 1a10cb4b80.jpg,Image title did not match mapped site tokens
jr_missouri_gateway_arch_np,Missouri,National Park Service,Gateway Arch National Park,Women,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Missouri/006 - Women.jpeg - 3317ce4065.jpg,Image title did not match mapped site tokens
jr_missouri_ulysses_s_grant_nhs,Missouri,National Park Service,Ulysses S Grant National Historic Site,Ul SLD,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Missouri/033 - Ul SLD.jpeg - c8a3991ea2.jpg,Image title did not match mapped site tokens
jr_montana_glacier_np,Montana,National Park Service,Glacier National Park,JJ,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Montana/017 - JJ.jpeg - b3873821d9.jpg,Image title did not match mapped site tokens
jr_nebraska_scotts_bluff_nm,Nebraska,National Park Service,Scotts Bluff National Monument,Crater Lake National Park,/Users/carterswarm/Downloads/JR_Rewards_Badges/Virtual/_Agency Header/029 - Crater Lake National Park - 935919c9c5.jpg,Image title did not match mapped site tokens
jr_new_mexico_aztec_ruins_nm,New Mexico,National Park Service,Aztec Ruins National Monument,At wooden,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New Mexico/051 - At wooden.jpeg - 75f591b889.jpg,Image title did not match mapped site tokens
jr_new_mexico_aztec_ruins_nm,New Mexico,National Park Service,Aztec Ruins National Monument,Band wooden,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New Mexico/058 - Band wooden.jpeg - 0851c44c2e.jpg,Image title did not match mapped site tokens
jr_new_mexico_carlsbad_caverns_np,New Mexico,National Park Service,Carlsbad Caverns National Park,senior ranger,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New Mexico/037 - senior ranger.jpeg - 8bd5a577e4.jpg,Image title did not match mapped site tokens
jr_new_mexico_fort_union_nm,New Mexico,National Park Service,Fort Union National Monument,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/119 - National Trails - c4d58b83df.jpg,Image title did not match mapped site tokens
jr_new_mexico_fort_union_nm,New Mexico,National Park Service,Fort Union National Monument,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/047 - Generic - 4c7f9cc642.jpg,Image title did not match mapped site tokens
jr_new_mexico_gila_cliff_dwellings_nm,New Mexico,National Park Service,Gila Cliff Dwellings National Monument,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/122 - National Trails - edd11fd902.jpg,Image title did not match mapped site tokens
jr_new_mexico_salinas_pueblo_mission_nm,New Mexico,National Park Service,Salinas Pueblo Missions National Monument,Carlsbad Bat Bio,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New Mexico/028 - Carlsbad Bat Bio.jpeg - 6a662f28c5.jpg,Image title did not match mapped site tokens
jr_new_mexico_salinas_pueblo_mission_nm,New Mexico,National Park Service,Salinas Pueblo Missions National Monument,Carlsbad,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New Mexico/030 - Carlsbad.jpeg - 3b481281e0.jpg,Image title did not match mapped site tokens
jr_new_mexico_valles_caldera_npr,New Mexico,National Park Service,Valles Caldera National Preserve,Aztec Ruins 2 stars,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New Mexico/048 - Aztec Ruins 2 stars.jpeg - 22f413ffad.jpg,Image title did not match mapped site tokens
jr_new_mexico_valles_caldera_npr,New Mexico,National Park Service,Valles Caldera National Preserve,Aztec Ruins,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New Mexico/049 - Aztec Ruins .jpeg - 7dda94b6f1.jpg,Image title did not match mapped site tokens
jr_new_york_african_burial_ground_nm,New York,National Park Service,African Burial Ground National Monument,Coin2,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/New York/111 - Coin2.jpeg - dcfcbea09f.jpg,Image title did not match mapped site tokens
jr_new_york_african_burial_ground_nm,New York,National Park Service,African Burial Ground National Monument,Coin3,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/New York/112 - Coin3.jpeg - 62346780ed.jpg,Image title did not match mapped site tokens
jr_new_york_fire_island_ns,New York,National Park Service,Fire Island National Seashore,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/048 - Generic - 7f0e89000a.jpg,Image title did not match mapped site tokens
jr_new_york_fort_stanwix_nm,New York,National Park Service,Fort Stanwix National Monument,Federal Hall badge4,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New York/042 - Federal Hall badge4.jpeg - 04197b5251.jpg,Image title did not match mapped site tokens
jr_new_york_fort_stanwix_nm,New York,National Park Service,Fort Stanwix National Monument,Fedral Hall old pin,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New York/043 - Fedral Hall old pin.jpeg - 2c8779e1f9.jpg,Image title did not match mapped site tokens
jr_new_york_fort_stanwix_nm,New York,National Park Service,Fort Stanwix National Monument,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/050 - Generic - d5cbf60289.jpg,Image title did not match mapped site tokens
jr_across_gateway_nra,New York,National Park Service,Gateway National Recreation Area,50th pin,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/New York/117 - 50th pin.jpeg - f8ff1b3a43.jpg,Image title did not match mapped site tokens
jr_new_york_home_of_franklin_d_roosevelt_nhs,New York,National Park Service,Home Of Franklin D Roosevelt National Historic Site,FDR wooden badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New York/090 - FDR wooden badge.jpeg - a4a958fe5d.jpg,Image title did not match mapped site tokens
jr_new_york_home_of_franklin_d_roosevelt_nhs,New York,National Park Service,Home Of Franklin D Roosevelt National Historic Site,FDR Van El Senior Badge,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New York/091 - FDR Van El Senior Badge.jpeg - 198e039c4f.jpg,Image title did not match mapped site tokens
jr_new_york_niagara_falls_nha,New York,National Park Service,Niagara Falls National Heritage Area,Tesla,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New York/100 - Tesla.jpeg - 9f46054939.jpg,Image title did not match mapped site tokens
jr_new_york_niagara_falls_nha,New York,National Park Service,Niagara Falls National Heritage Area,Harriet Tubman,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/New York/101 - Harriet Tubman.jpeg - d84d6665dc.jpg,Image title did not match mapped site tokens
jr_north_carolina_wright_brothers_nm,North Carolina,National Park Service,Wright Brothers National Memorial,Junior Aviator,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/North Carolina/031 - Junior Aviator.jpeg - 1278cf26f3.jpg,Image title did not match mapped site tokens
jr_north_dakota_fort_union_trading_post_nhs,North Dakota,National Park Service,"Fort Union Trading Post National Historic Site, MT,ND",Knife River Badge1,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/North Dakota/016 - Knife River Badge1.jpeg - 45e740b917.jpg,Image title did not match mapped site tokens
jr_north_dakota_fort_union_trading_post_nhs,North Dakota,National Park Service,"Fort Union Trading Post National Historic Site, MT,ND",Knife River Lifeways,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/North Dakota/018 - Knife River Lifeways.jpeg - e6fa0fa94c.jpg,Image title did not match mapped site tokens
jr_ohio_charles_young_buffalo_soldiers_nm,Ohio,National Park Service,Charles Young Buffalo Soldiers National Monument,Kennedy,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Ohio/073 - Kennedy.jpeg - 75206a1950.jpg,Image title did not match mapped site tokens
jr_ohio_charles_young_buffalo_soldiers_nm,Ohio,National Park Service,Charles Young Buffalo Soldiers National Monument,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/066 - Generic - ae5c1362de.jpg,Image title did not match mapped site tokens
jr_ohio_dayton_aviation_heritage_nhp,Ohio,National Park Service,Dayton Aviation Heritage National Historical Park,Huffman to the Moon,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Ohio/008 - Huffman to the Moon.jpeg - 850f2e57a8.jpg,Image title did not match mapped site tokens
jr_ohio_hopewell_culture_nhs,Ohio,National Park Service,Hopewell Culture National Historical Park,Barbara Bush,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Ohio/044 - Barbara Bush.jpeg - e024c032dc.jpg,Image title did not match mapped site tokens
jr_ohio_hopewell_culture_nhs,Ohio,National Park Service,Hopewell Culture National Historical Park,Clinton,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Ohio/045 - Clinton.jpeg - d0e3ad91c0.jpg,Image title did not match mapped site tokens
jr_oklahoma_oklahoma_city_nm,Oklahoma,National Park Service,Oklahoma City National Memorial,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/158 - National Trails - 6efdfa6ec7.jpg,Image title did not match mapped site tokens
jr_oklahoma_oklahoma_city_nm,Oklahoma,National Park Service,Oklahoma City National Memorial,Washita 25 ann patch,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Oklahoma/127 - Washita 25 ann patch.jpeg - d6da5bbcb5.jpg,Image title did not match mapped site tokens
jr_oklahoma_oklahoma_city_nm,Oklahoma,National Park Service,Oklahoma City National Memorial,Washita 25 ann coin,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Oklahoma/128 - Washita 25 ann coin.jpeg - c338d5ef21.jpg,Image title did not match mapped site tokens
jr_oregon_john_day_fossil_beds_nm,Oregon,National Park Service,John Day Fossil Beds National Monument,JDFB dont hurt the dirt,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Oregon/129 - JDFB dont hurt the dirt.jpeg - e7a9b0af1d.jpg,Image title did not match mapped site tokens
jr_oregon_oregon_caves_nm_and_pr,Oregon,National Park Service,Oregon Caves National Monument and Preserve,I know they look alike but the one on the left is darker in color and ha,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Oregon/020 - I know they look alike but the one on the left is darker in color and ha - 3a4b05dc91.jpg,Image title did not match mapped site tokens
jr_oregon_oregon_caves_nm_and_pr,Oregon,National Park Service,Oregon Caves National Monument and Preserve,I know they look alike but the one on the left is darker in color and ha,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Oregon/021 - I know they look alike but the one on the left is darker in color and ha - 586eb1b6da.jpg,Image title did not match mapped site tokens
jr_oregon_oregon_caves_nm_and_pr,Oregon,National Park Service,Oregon Caves National Monument and Preserve,I know they look alike but the one on the left is darker in color and ha,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Oregon/022 - I know they look alike but the one on the left is darker in color and ha - ac82086a35.jpg,Image title did not match mapped site tokens
