hash,fileName,fileId,viewUrl,thumbnailUrl,localFile
03246dfe8e,jr-reward-03246dfe8e.webp,1U2N2rBbd3Eh7iK0nIlR2X-wVlXQSyjU8,https://drive.google.com/file/d/1U2N2rBbd3Eh7iK0nIlR2X-wVlXQSyjU8/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1U2N2rBbd3Eh7iK0nIlR2X-wVlXQSyjU8&sz=w1600,01-code/app/assets/badges/jr-rewards/03246dfe8e.webp
032fc002f6,jr-reward-032fc002f6.webp,1pNXq8QglIWoIEMEVAxkuCNk1ZKfEsN1k,https://drive.google.com/file/d/1pNXq8QglIWoIEMEVAxkuCNk1ZKfEsN1k/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1pNXq8QglIWoIEMEVAxkuCNk1ZKfEsN1k&sz=w1600,01-code/app/assets/badges/jr-rewards/032fc002f6.webp
0356670c88,jr-reward-0356670c88.webp,1hnyxEjVoclbJny36robIxM-kAb4-bE-j,https://drive.google.com/file/d/1hnyxEjVoclbJny36robIxM-kAb4-bE-j/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1hnyxEjVoclbJny36robIxM-kAb4-bE-j&sz=w1600,01-code/app/assets/badges/jr-rewards/0356670c88.webp
035e0b4d3a,jr-reward-035e0b4d3a.webp,1JogKsa0X6FCCbLiNI0wOi_WD7jjx3gJk,https://drive.google.com/file/d/1JogKsa0X6FCCbLiNI0wOi_WD7jjx3gJk/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1JogKsa0X6FCCbLiNI0wOi_WD7jjx3gJk&sz=w1600,01-code/app/assets/badges/jr-rewards/035e0b4d3a.webp
03670a58ae,jr-reward-03670a58ae.webp,1qhOogjb1MObUBtDyGo5rkVWTZC-uEgcP,https://drive.google.com/file/d/1qhOogjb1MObUBtDyGo5rkVWTZC-uEgcP/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1qhOogjb1MObUBtDyGo5rkVWTZC-uEgcP&sz=w1600,01-code/app/assets/badges/jr-rewards/03670a58ae.webp
03885f0d79,jr-reward-03885f0d79.webp,1pVLm6tZauWd2N8Mg6TGiD2YZjszUFz4M,https://drive.google.com/file/d/1pVLm6tZauWd2N8Mg6TGiD2YZjszUFz4M/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1pVLm6tZauWd2N8Mg6TGiD2YZjszUFz4M&sz=w1600,01-code/app/assets/badges/jr-rewards/03885f0d79.webp
039d9f7593,jr-reward-039d9f7593.webp,1CantbT1O9O87I_3hFXeCfaCz9W17AQFY,https://drive.google.com/file/d/1CantbT1O9O87I_3hFXeCfaCz9W17AQFY/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1CantbT1O9O87I_3hFXeCfaCz9W17AQFY&sz=w1600,01-code/app/assets/badges/jr-rewards/039d9f7593.webp
03b3a4eb4d,jr-reward-03b3a4eb4d.webp,1F0VwVRwZJyWND_UX_usbvQy4BacfjGoq,https://drive.google.com/file/d/1F0VwVRwZJyWND_UX_usbvQy4BacfjGoq/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1F0VwVRwZJyWND_UX_usbvQy4BacfjGoq&sz=w1600,01-code/app/assets/badges/jr-rewards/03b3a4eb4d.webp
03b5726f61,jr-reward-03b5726f61.webp,1ac2rDdy5JywXflCA6FiqYqaLvas2jC7G,https://drive.google.com/file/d/1ac2rDdy5JywXflCA6FiqYqaLvas2jC7G/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1ac2rDdy5JywXflCA6FiqYqaLvas2jC7G&sz=w1600,01-code/app/assets/badges/jr-rewards/03b5726f61.webp
03ce59238b,jr-reward-03ce59238b.webp,17dwMRE8pUmWqPtnshwgHvZU634moE_Ri,https://drive.google.com/file/d/17dwMRE8pUmWqPtnshwgHvZU634moE_Ri/view?usp=drivesdk,https://drive.google.com/thumbnail?id=17dwMRE8pUmWqPtnshwgHvZU634moE_Ri&sz=w1600,01-code/app/assets/badges/jr-rewards/03ce59238b.webp
